vendor_name,amount,report_month,report_year,schedule,source_pdf
Abm Specialized Hospital,138450.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
Abm Specialized Hospital,18982620.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
Abm Specialized Hospital,181050.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
Abm Specialized Hospital,42600.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
Abm Specialized Hospital,1890.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Abm Specialized Hospital,287020.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Abm Specialized Hospital,1028110.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
Abm Specialized Hospital,239130.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Aboloi Dispensary,20000.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
Aboloi Dispensary,40429.01,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Aboloi Dispensary,10000.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Aboloi Dispensary,50883.3,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Abqa Annex Medical Centre Ltd,618240.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
Abqa Annex Medical Centre Ltd,945280.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
Abqa Annex Medical Centre Ltd,21469.52,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Abqa Annex Medical Centre Ltd,349440.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Abqa Annex Medical Centre Ltd,137920.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Abqa Annex Medical Centre Ltd,680000.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Abqa Annex Medical Centre Ltd,19379.95,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Abqa Annex Medical Centre Ltd,2654400.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Abraar Hospital Limited,154400.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Abraar Hospital Limited,10800.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Abraar Hospital Limited,12800.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Abraar Hospital Limited,4640.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Abraar Hospital Limited,11200.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
Abraar Hospital Limited,768900.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
Abraar Hospital Limited,30000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
Abraar Hospital Limited,100800.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Abrar Health Services Banissa,13440.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
Abrar Health Services Banissa,519680.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
Abrar Health Services Banissa,12000.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Abrar Health Services Banissa,1840.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Abrar Health Services Banissa,114240.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Abrar Health Services Limited,598080.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
Abrar Health Services Limited,540960.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
Abrar Health Services Mandera Limited,11200.0,August,2025,1,SHA_PAYMENTS_AUGUST_2025_1.pdf
Abrar Health Services Mandera Limited,562240.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
Abrar Health Services Mandera Limited,889120.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
Abubakar Sidiq Nursing Home,69440.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
Abubakar Sidiq Nursing Home,320.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Abubakar Sidiq Nursing Home,181440.0,August,2025,1,SHA_PAYMENTS_AUGUST_2025_1.pdf
Abubakar Sidiq Nursing Home,44800.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
Abubakar Sidiq Nursing Home,778320.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
Abubakar Sidiq Nursing Home,29120.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Abulo Medical Center,10000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
Abulo Medical Center,2388720.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
Abulo Medical Center,1182720.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
Abulo Medical Center,3809.51,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Abuu Amira Nursing Home,2407680.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
Abuu Amira Nursing Home,807280.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Abuu Amira Nursing Home,80640.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Abuu Amira Nursing Home,116480.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Abuu Amira Nursing Home,1845760.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
Abuu Amira Nursing Home,6900.92,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Abuu Amira Nursing Home,24960.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Abuu Amira Nursing Home,30830.39,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Abyan Hospital Limited,89600.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Abyan Hospital Limited,7840.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Abyan Hospital Limited,6880.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Abyan Hospital Limited,2951120.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
Abyan Hospital Limited,1462720.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
Abyan Hospital Limited,20160.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Abyan Hospital Limited,6395200.0,August,2025,1,SHA_PAYMENTS_AUGUST_2025_1.pdf
Ace Northern Hospital Ltd,10000.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Ace Northern Hospital Ltd,10000.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
Ace Northern Hospital Ltd,1200.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Acef Ena Health Centre,5160.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
Acela Medical Centre,266177.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Acela Medical Centre,63840.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Acela Medical Centre,178900.52,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Acela Medical Centre,164640.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Acela Medical Centre,43840.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Acela Medical Centre,78560.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Acela Medical Centre,708880.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
Acela Medical Centre Limited,40000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
Acela Medical Centre Limited,1354080.0,August,2025,1,SHA_PAYMENTS_AUGUST_2025_1.pdf
Acela Medical Centre Limited,400880.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
Acela Medical Centre Limited,1315840.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
Acela Medical Centre Limited,225120.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
Ack Dr. Pike Roper Medical Centre,90000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
Ack Dr. Pike Roper Medical Centre,119440.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
Ack Dr. Pike Roper Medical Centre,16720.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
Ack Dr. Pike Roper Medical Centre,70000.0,July,2025,2,SHA_PAYMENTS_JULY_2025_2.pdf
Ack Khasoko Health Centre,30000.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
Ack Khasoko Health Centre,60320.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
Ack Khasoko Health Centre,70000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
Ack Mt Kenya Hospital Mwea,647360.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
Ack Mt Kenya Hospital Mwea,1718080.0,August,2025,1,SHA_PAYMENTS_AUGUST_2025_1.pdf
Ack Namboboto Health Centre,81200.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
Ack Port Florence Community Hospital,125440.0,August,2025,1,SHA_PAYMENTS_AUGUST_2025_1.pdf
Ack Port Florence Community Hospital,24640.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
Ack Port Florence Community Hospital,147840.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
Ack Soysambu Dispensary,10000.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Ack Soysambu Dispensary,60000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
Ack Soysambu Dispensary,236187.13,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Ack Soysambu Dispensary,204071.76,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Ack St.Lukes Mission Nursing Home,10000.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
Ack St.Lukes Mission Nursing Home,50000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
Ack St.Lukes Mission Nursing Home,20000.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
Acorn Community Hospital Limited,30000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
Acorn Community Hospital Limited,1637440.0,August,2025,1,SHA_PAYMENTS_AUGUST_2025_1.pdf
Acutest Hospitals,262396.13,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Adadi Dispensary,20000.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
Adadi Dispensary,30000.0,August,2025,1,SHA_PAYMENTS_AUGUST_2025_1.pdf
Adadijole Dispensary,10000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
Adadijole Dispensary,80000.0,August,2025,1,SHA_PAYMENTS_AUGUST_2025_1.pdf
Adc Market Nursing Home Limited,36800.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Adc Market Nursing Home Limited,123200.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Adc Market Nursing Home Limited,416640.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
Adc Market Nursing Home Limited,168000.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Adc Market Nursing Home Limited,17050.97,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Adc Market Nursing Home Limited,2226560.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
Adc Market Nursing Home Limited,7411.03,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Adc Market Nursing Home Limited,80960.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Ademasajida Dispensary,20000.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Ademasajida Dispensary,10000.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Ademasajida Dispensary,12735.79,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Ademasajida Dispensary,50000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
Ademasajida Dispensary,6727.22,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Ademasajida Dispensary,50000.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
Adfaal Kids Care Medical Centre Limited,734720.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
Adiedo Dispensary,10000.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
Adiedo Dispensary,30000.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
Adiedo Health Centre,274070.42,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Adiedo Health Centre,65689.74,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Administration Police Training College H,1784385.28,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Administration Police Training College H,1510228.63,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Adu Dispensary,670000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
Adu Dispensary,40000.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Adu Dispensary,337726.33,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Adu Dispensary,430000.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
Adu Dispensary,0.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Adu Dispensary,90000.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Adu Dispensary,31000.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Adu Dispensary,222455.23,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Adungosi Medical Clinic,2720.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Adungosi Medical Clinic,23200.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Adungosi Medical Clinic,253648.96,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Adungosi Medical Clinic,53760.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Adungosi Medical Clinic,325397.79,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Adungosi Medical Clinic,88400.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
Adungosi Medical Clinic,48080.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Advanced Cancer Centre,486430.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Advanced Cancer Centre,852578.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Advanced Cancer Centre,910706.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Advanced Cancer Centre,4925262.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
Advanced Cancer Centre,1313074.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Advanced Cancer Centre Limited,6286554.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
Advanced Cancer Centre Limited,2159612.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
Advanced Cancer Centre Limited,15161792.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
Advanced Care Diagnostic And Renal Dialysis Limited,38450.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
Advanced Care Diagnostic And Renal Dialysis Limited,734850.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
Advanced Care Diagnostic And Renal Dialysis Limited,159750.0,August,2025,1,SHA_PAYMENTS_AUGUST_2025_1.pdf
Advanced Care Diagnostic And Renal Dialysis Limited,10650.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
Advanced Care Diagnostic And Renal Dialysis Limited,2279096.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
Advanced Care Diagnostic And Renal Dialysis Limited,74550.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
Advent Medicare & Maternity Center,1318.34,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Afarshanle Dispensary,50000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
Afarshanle Dispensary,3446.15,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Afarshanle Dispensary,100000.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Afarshanle Dispensary,50000.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Afarshanle Dispensary,32120.63,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Afarshanle Dispensary,10000.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Afarshanle Dispensary,80000.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
Afey Hillow Nursing Home Limited,89440.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Afey Hillow Nursing Home Limited,1229760.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
Afey Hillow Nursing Home Limited,64080.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Afey Hillow Nursing Home Limited,480.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Afey Hillow Nursing Home Limited,8960.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Afey Hillow Nursing Home Limited,258640.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Afey Hillow Nursing Home Limited,246400.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Afey Hillow Nursing Home Limited,3029040.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
Afey Hillow Nursing Home Limited,49825.7,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Affan Nursing Home Limited,7814.53,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Affan Nursing Home Limited,21440.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Affan Nursing Home Limited,9440.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
